Tweet,Sarcasm(yes/no/no) Ravi,Sarcasm(Yes/No/no) Niranjana,Sarcasm(Yes/No/no) Priya
@AstroKatie But women should not be allowed in labs! They distract men with their giggles and provocative looks! #sarcasm,yes,yes,yes
"""No it's, no buts, we are leaving the #EuropeanUnion ."" #davidnott I'm glad you support racism... 
  #sarcasm #Brexit #BrexitBritain",yes,yes,yes
Trump is just too modest. He really should learn to use a little hyperbole. #sarcasm https://t.co/iuuLKpLRtD,yes,yes,yes
DILF T-shirt https://t.co/qF5fOMMrKo #WitticismsRus #sarcasm #funnygift #Graphic_tshirt https://t.co/7vr4w1raO8,no,no,no
"3 babies in 3 years &amp; still rockin the crop top. Wow. #sarcasm #hknlies 
  But #kristenstewart looks adorable in bowâ€¦ https://t.co/kCI8IsBe2S",yes,yes,yes
"Like he just said in CO he is working for you now, not for @realDonaldTrump. Fiduciary responsibility. #sarcasm https://t.co/t1Qe4sMHvD",yes,no,yes
"@EmpireOfSoccer wow you didn't even crowbar a Red Bull compliment when reporting this, great job #sarcasm",yes,yes,yes
"""My head says #gym but my heart days #pizza""
  #quoteoftheday #sarcasm #irony #funny #truth",yes,yes,yes
@thelonghorns12 remember Charlie was writing the checks lmao #sarcasm,no,yes,yes
Only @wmata would offload a packed train during rush hour. Brilliant service as always. #Sarcasm,yes,yes,yes
Funny that the New York Times endorsed Hillary Clinton and do everything they can to destroy Donald Trump. Totally unbiased news. #sarcasm,yes,yes,yes
"Hundreds of yrs ago it's completely fine for #Christians to mass #murder #Muslims, but the other way around it's not? #OKthen #sarcasm",yes,yes,yes
@racheleklein @DanielBeerthuis Its #sarcasm please,no,no,yes
"what is called when your crush has crush on You ??
  Imagination.
  #sarcasm",yes,yes,yes
@JoeBrunoWSOC9 so now they will focus on bringing jobs in. Smart. #sarcasm.,yes,yes,yes
@CatiRae04 yup you got it. #sarcasm,no,yes,yes
"Just in, All Clinton/DNC missing devices have been located in an old US hellfire missile crate in Havana Cuba.
  Just a mistake.
  #sarcasm",yes,yes,yes
Seems like a fair and unbiased take on things ... #sarcasm https://t.co/cVsYAcF0Qf,no,yes,yes
@a_widener @Steven_Swenson @Rangersfan66 @1973_Movement yeah the grid is held with bailing wire. #sarcasm. 44 years in elec industry says no,yes,no,yes
@CatiRae04 yup that's right. He definitely didn't Imply having PTSD makes you weak. #sarcasm,yes,yes,yes
"Remember guys if Bob Bradley fails at Swansea , it's MLS' fault and Americans know nothing about the sport ðŸ˜‰ #sarcasm",yes,yes,yes
#SARCASM. Re last tweet.,no,no,no
@BrendanEich It never could have happened at Mozilla b/c everyone was too psychologically damaged to work! #sarcasm #ILikeEich,yes,yes,yes
@jongaunt - didn't you hear Gaunty mate? @KimKardashian got mugged! That's far more important than one of our Servicemen missing #sarcasm,yes,yes,yes
I know the feeling â˜º #sarcasm https://t.co/h1zXxOpyvB,no,no,no
"Now I can give my wife my the ""don't bother me during this time"" schedule. She is going to be thrilled! #sarcasmâ€¦ https://t.co/fPtoeIfi6P",yes,yes,yes
"@TMZLive #Missing24 #TMZ Taking a day off work?
  Wow great idea, that's gota be hard #sarcasm BTW I would fire everyone that did this #stupid",yes,yes,yes
"@packetwar 
  ""ur autistic"" 
  
  - Puts #sarcasm after obvious sarcasm 
  
  no fucking words for this",yes,yes,no
Best comeback 2016 #sarcasm https://t.co/5t0MxTcknc,no,no,no
What a wonderful Monday #sarcasm,yes,yes,yes
"Think we can rally another 20 cents tomorrow in #soybeans . . . after all, it's not like we have a 74% g/e crop . . . or do we!? #sarcasm",no,no,no
Such a wonderful time in Britain tomorrow #sarcasm https://t.co/SVXo9hfyRS,no,yes,yes
Woah I can't with all this creative genius #TheBatman #sarcasm #mindblown,yes,yes,no
It's gotta be the cleats #sarcasm,no,no,no
@stephgrk Nice to see thereâ€™s a community of these folks keeping us on our toes. #sarcasm,yes,yes,yes
It's National Boyfriend Day. Yay. #sarcasm,yes,no,yes
You're right I should stop all my deserved criticism of Hillary Clinton and the United States Gov't because everythâ€¦ https://t.co/yT5OxBMXHx,no,yes,yes
"@BHOOLZ Hey Bruce, how do you feel about the Browns drafting Kessler? #sarcasm",no,no,no
I wonder why Synths are malfunctioning(?) #Sarcasm #SynthArmy / #Humans2 #Humans https://t.co/JHk5BuoDFh,no,no,no
@kevin_welling no...it is...as well as getting rid of BoP ðŸ˜‚ #sarcasm,,no,no
"Oh my, now I wonder why they'd do that? #sarcasm . Better go tell your handlers, Rosie https://t.co/ssg9aQY3Kl",yes,no,yes
Gotta love hospital food. #Sarcasm https://t.co/4sFqZfRZA6,yes,yes,yes
"The #NobelPrize 4 #sarcasm goes 2...Me! Thank u, thank u so much.. I'd like 2 thank myself for being the only one I can count on. Ok bye #fb",yes,yes,yes
"Nothing like getting blindsided by a ""good learning opportunity"" on a Monday morning. I love me a good Catch-22 situation. #sarcasm",yes,yes,yes
You were so attractive until I saw your ugly personality #sarcasm @ThatsSarcasm,yes,yes,yes
SHOCKING!! #sarcasm https://t.co/ix1bxX8vtY,yes,yes,no
Good thing the Universal Credit roll-out is going so smoothly. Should sort this mess right out. #sarcasm https://t.co/Sda5OvJMqa,yes,no,yes
Just what you want for the comedy actor lampooning a politician! #Sarcasm https://t.co/YXPAX12cgB,yes,yes,yes
@xformed @Harlan @HillaryClinton @LorettaLynch can hardly wait #Sarcasm,no,no,no
This isn't #writing at all. It's typing. ~Truman Capote #Sarcasm,yes,yes,yes
What if they had just combined the two names together? Like Eugenehower or Eisenfield? #SunflowerElementary #USD290 #sarcasm,yes,yes,yes
"@Lions Oh boy, Superbowl here we come... #sarcasm",yes,no,yes
Oh but he's cute and cuddly #sarcasm https://t.co/I9Y0217VVl,yes,yes,yes
@JohnWesleyShipp @IowaPeg Couldn't happen to a more deserving guy! #sarcasm,yes,yes,yes
Three and a half grand! That'll teach em! @SadiqKhan @TfL #sarcasm https://t.co/Bs4CzbbiiI,yes,yes,yes
Next @ScottBaio will discuss string theory &amp; acting - #thingsScottBaioknows #sarcasm #tool https://t.co/KLFqdfl8MZ,yes,yes,no
Without such US Navy warning no one would ever have thought of this after HSV-2 Swift got killed by a Yemeni army mâ€¦ https://t.co/ku9BNIn0U0,no,no,no
Haven't had this much fun blocking and reporting deplorables since #TrumpTaxes #sarcasm #KhanFamily the stupidity that Trump has said...,yes,yes,yes
I love how I'm a grown woman who can't cook... #sarcasm,yes,yes,yes
"Great episode, sorry I missed it. Btw, nobody mentioned the real best part of going to a #conference, meeting me! (â€¦ https://t.co/YfPRKN2DlO",yes,yes,yes
I really enjoy running through Penn Station with a full backpack #sarcasm,yes,yes,yes
"I feel privileged Southern's staff let me stand in their ticket office talking to them, let alone travel on their WONDERFUL trains! #sarcasm",yes,yes,yes
Cutting my hair for the 1st time I'm over a year on Monday. Takes work to look fabulous. #sarcasm,yes,yes,yes
#DBacks looking at Don Wakamatsu as possible replacement for manager or GM or player/coach #NotAccurate #Sarcasm https://t.co/jgGze45qDq,yes,no,no
Outside RW media bubble it's just fun #Trump using #Sarcasm. I just love it when he does that ðŸ‘ˆ actual sarcasm https://t.co/1EJnGpu3RK,yes,yes,yes
@Lightning_JL @steveucnlive @realtommyhearns @SugarRayLeonard Mayweather wouldve schooled them both!!#Sarcasm I repeat-sarcasm!,yes,no,no
"The history of 'Hangman'
  
  #Daastan #Sarcasm #Literature https://t.co/YFP5HEfLXG",no,no,no
"Unapologetic, lacks empathy, narcissistic, arrogant, hypocritical, &amp; slightly racist. Yep he sure sounds presidentiâ€¦ https://t.co/lffuLdCqCa",yes,yes,no
"He fought in World War II. He died in 2014. And he just registered to vote in Va. https://t.co/KwibVl4sRo
  We don't need voter ID. #sarcasm",yes,yes,yes
"Santander: a reminder the interest rate on your savings account is reducing
  
  OH I HAD NO IDEA #sarcasm",yes,yes,yes
So now I can patch it myself and ship it with my binary #blameJavi #SE0117 #sarcasm,yes,yes,yes
Nice balanced view of publishing with all non-fiction condemned as not 'proper books' by Karen in #ColdFeet #nothelpful #books #sarcasm,yes,no,yes
"Oh hey, the world's worst developer hit another homerun. #MissionGatewayProject #sarcasm https://t.co/eR3u3Mh8LK",yes,yes,yes
"@CorkSeashell @threeredkings as previously said, that's why I said start the rumour mill ðŸ˜‚ðŸ˜‚ #sarcasm don't think it translates well on thisðŸ˜‚",no,no,no
This sounds like a great movie. #sarcasm https://t.co/32U7lcVxr0,yes,yes,no
"and I'm like ""why aren't you asleep yet?""
  
  and he's like ""why are You asleep yet?""
  
  yeah . 
  
  We are amazingly sweet like that #Sarcasm",yes,yes,yes
@boringextasy well he's obviously a loser #sarcasm,yes,yes,yes
"@dusteallen save life everyday in Libia, Syria, Iraq or where exactly? Please help me, I am a bit lost... #sarcasm #HillaryForPrison",yes,yes,yes
More great news for #ladyscientists trying to make it in the natural sciences. #sarcasm @ShifGold @saelmore18â€¦ https://t.co/HN5N7tN9VV,yes,no,no
@24LadyLynda @EveThomasSAFE @Elsie2127 some #police would make better #comedian's i received nothing but #sarcasm when i needed their help',yes,no,no
@wesoryniak @Justin_Ling but my life will be over in 80 years. Why should I care? #sarcasm,yes,yes,no
@AamAadmiParty @ArvindKejriwal sir is it thm or sme one els who need evidncs on thr behalf abt the stike? #sarcasm,yes,yes,no
#Sarcasm makes you mentally stronger. Which is very effective when dealing with emotional stress and frustration. - unknown #quote,yes,no,yes
Vagina pride pendant necklace https://t.co/OvN3gc18U8 #sarcasm #funnygift #Trans https://t.co/ad9ciHScZl,no,no,no
"@GooGwaba It's ok, it's just part of the culture where these people come from.
  #sarcasm",yes,yes,no
"Happy national boyfriend day, beautiful. I love you so much #NationalBoyfriendDay #humor #sarcasm https://t.co/MqO0ZLRZUw",yes,yes,yes
It's monday... I don't have any interest in the first class of the week... yep... the best way to start the week #Sarcasm,yes,yes,yes
"@kylegoon That can neither be confirmed nor denied. Also, there's a lot of people who don't get #sarcasm.",yes,yes,yes
NOT AT ALL A POLITICAL MOVE #SARCASM NY attorney general orders Trump Foundation to 'cease' fundraising | https://t.co/Bx2EMVLNZr,no,no,no
I am so shocked to hear this #sarcasm https://t.co/KaBSiefHwH,no,no,no
@BoschFawstin Mainstream media reporting of Draw Mo competition should have taught u that. #racist #kkk #violence #islamophobia (#sarcasm),no,no,no
@mmsuk no coz I'd have to work another holiday whilst others get days off #sarcasm,yes,yes,no
"Vintage = no such word as enough ðŸ˜‚
  #vintagefashion #vintagelove #vintagelife #retro #worcestershire #pershoreâ€¦ https://t.co/9SBgW7UJPb",no,no,no
"But Denmark have renewables!!! What about ENERGY SECURITY? 
  #auspol #sarcasm https://t.co/9SZYXtk1ez",yes,yes,no
"Sister: are you going on a run?
  
  Me: no I'm acting in a play #sarcasm 
  
  Sis: are you playing a track star cause that'd be a stretch for you",no,no,no
Nothing like basing uniforms off of the unique and iconic flag of Oregon... #sarcasm https://t.co/ZRiOEVF1c1,no,no,no
"I was just reminded why I don't read comments on most sites, esp. #RWNJ ones. #TheStupidItBurns #Islamophobia? No sâ€¦ https://t.co/p3WTc2ZpLi",yes,no,yes
"If Smokin' Jay's contract wasn't so huge, what are the odds he'd end up a Jet too? @BMarshall and @MattForte22 would love it! #Sarcasm",no,no,no
"how many politician's son are working in Armed Forces?
  #sarcasm",no,yes,yes
@michaelgungor Jesus was very selfish and all about winning...#sarcasm,yes,yes,yes
"I'm shocked upscale condos above a Walmart didn't gain more traction #sarcasm Premium location in 1st ring suburb,â€¦ https://t.co/ydimmg4yFK",no,no,no
@DRUDGE_REPORT @pretareporter so shocking #sarcasm ðŸ™‰ðŸ™Š doubted it from the beginning considering she videos everything.,no,no,no
"@teapartychair @PSI_Intl But, but, but . . . it's climate change now! That MUST be bad somehow. They're all smarter than us!!! #Sarcasm",yes,yes,yes
"Friend : (complaining about looks looking at mirror) I don't look nice.
  Me: and they say mirror makes you 6 times beautiful 
  #sarcasm",yes,yes,yes
"I said don't buy Chinese stuff,others said what's made in India #sarcasm but #truth #IndiaPakistan",yes,yes,yes
Pretty sure the Sunday game is necessary in a best-of-5 series. #sarcasm https://t.co/S2fIWYwDeu,no,yes,yes
AWESOME! #sarcasm https://t.co/pBeYDSkEXx,yes,yes,yes
It's been 2 hours I have been thinking about tweet and all i got is this shit #sarcasm,yes,yes,yes
This text terrifies people #humour #sarcasm #satire #racism https://t.co/CYB9SVXWJj,yes,yes,no
"Don't be ridiculous.
  
  I'm sure it's perfectly innocent. #sarcasm https://t.co/yYlBFu9rVX",yes,yes,yes
Wow. @facebook. I'm surprised that I can see when a friend is typing. #Wow #Exciting #Sarcasm,yes,yes,yes
@AC_assettocorsa thanks to tell us the reason about why the porsche dlc isn't available yet... good information #sarcasm,yes,yes,yes
"Man, whenever I walk into the cafeteria they are always playing some bumpin Christian music #sarcasm",yes,yes,yes
Nothing wrong #sarcasm https://t.co/scbPNJWTnn,no,no,no
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",yes,no,yes
This coffee sucks coffee mug https://t.co/8dmPpsgD3q #WitticismsRus #funnygift #Sarcasm https://t.co/UxocuKXe3T,yes,yes,no
@mcuban I'm going to hold my breath until you rebuke @HillaryClinton. #sarcasm https://t.co/7mkehKf6Hs,yes,yes,yes
"@p_candi but yea, he's fit to serve people he has NEVER served before. gotcha. #sarcasm",yes,yes,yes
@OttawaCitizen it's not against the law if the future President does it #sarcasm,yes,yes,yes
"You know that nice tingly feeling you get when you're falling for someone?
  
  That's common sense leaving your body...
  
  #sarcasm #CommonSense",yes,yes,yes
@RT_com @MSN noooooo. You mean they are not an honest &amp; reliable news source? #sarcasm,yes,yes,yes
Ooh this is #badbutgood #funny #sarcasm #jokes #narcissism https://t.co/YBpPYm95L6,yes,yes,no
Lots of people are enjoying FRONTIERS @humanitygoboom! I'm very gratified! #comicbooks #graphicnovels #indie #scifiâ€¦ https://t.co/UIf1nNjVI9,yes,yes,no
"Opera is when a guy gets stabbed in the back, instead of screaming, he sings. #sarcasm https://t.co/xZDUpL8ZIW",yes,yes,yes
"Girls canâ€™t find their hairclip, but they remember what you said exactly 2 yrs ago at 2:13 am.
  
  #Sarcasm
  #Comedy",yes,yes,no
"And determined to have ""population exchanges"" to create homogenous societies as a path towards peace. That worked oâ€¦ https://t.co/rQWgwAVOfc",no,yes,yes
"@ReutersPolitics Why would the peace loving, innocent US choose to do that? #sarcasm #warmongers #Election2016",yes,yes,yes
SE Indiana at it's finest....#sarcasm https://t.co/gY4OJqNQ2v,no,no,no
@squawkfox @preetbanerjee @cdnbiz Allow me to add to this #Bleh . How will Mutual Funds survive? #Sarcasm,yes,yes,no
"Privacy matters dude!
  #sarcasm https://t.co/qdn3Y9doyB",no,no,no
RE TWEETING cuz apparently this is A NATIONAL tragedy #sarcasm https://t.co/msubcEaWoc,no,no,no
@_ILOVENAYA @shelleyhennig Like it was yesterday #sarcasm,no,no,no
@GorshDog clearly you missed the #Sarcasm,no,no,no
Medical system at it's finest. Doc knows what to do but insurance won't cover treatment unless 1000's are wasted on other tries 1st #SARCASM,yes,yes,no
@Daily_Express This is really a great 'club' to belong to isn't it? #sarcasm #fueu,yes,yes,yes
"Wear headphones even when not listening to music to
  stop people from bothering you.
  
  #SurvivalTip
  #Sarcasm
  #Comedy",yes,yes,yes
@Kotaku @Deadspin wow that will really impact the game play!! #sarcasm,yes,yes,yes
@kumailn my PTSD experiences have been nothing but filled with joy and non mind altering realities. #sarcasm,yes,yes,yes
Alternative energy companies are doing so great though!!! #sarcasm https://t.co/ZNIZ4mpETw,no,yes,yes
Monday'sðŸ˜‚ðŸ˜‚ #lol #lmao #me #af #Monday #mcm #work #workmode #funny #laugh #jokes #sarcasmâ€¦ https://t.co/v2U45MQIz4,yes,yes,no
I love this from @phuckadoodledo #sarcasm #prosecco #funny https://t.co/Py2tqtQvA0,no,no,no
"Oh goodie, just what Port Credit needs. #sarcasm #whereisthequalityretail #notinmyneighbourhood https://t.co/I43dgG9DPk",no,no,no
Wow @CVS_Extra gave me a whole dollar! #NotExcited #Sarcasm https://t.co/3EY2JHI8BI,yes,yes,no
heard you guys had some intense clown sightings. good job on keeping the kids calm #sarcasm #jjpearce,yes,yes,yes
@corywoody13 so you could only do it this weekend? Wow tough teacher #sarcasm :),yes,yes,no
